id	orgName	QID
dbl_025_org_102	Afro-American Society at Dartmouth College	Q114879775
dbl_025_org_103	Dartmouth College	Q49116
dbl_025_org_104	Afro-American Society at Dartmouth College	Q114879775
dbl_025_org_105	Dartmouth College	Q49116
dbl_025_org_106	Dartmouth College	Q49116
dbl_025_org_107	Dartmouth College	Q49116
dbl_025_org_108	Dartmouth College	Q49116
dbl_025_org_109	Dartmouth College	Q49116
dbl_025_org_110	Columbia University	Q49088
dbl_025_org_111	Columbia University	Q49088
dbl_025_org_112	Dartmouth College	Q49116
dbl_025_org_113	Howard University	Q1068752
dbl_025_org_114	Bellevue Hospital Center	Q2894927
dbl_025_org_115	College of New Rochelle	Q5146784
dbl_025_org_116	Columbia University	Q49088
dbl_025_org_117	Dartmouth College	Q49116
dbl_025_org_118	Dartmouth College	Q49116
dbl_025_org_119	Dartmouth College	Q49116
dbl_025_org_120	Dartmouth College	Q49116
dbl_025_org_121	Dartmouth College	Q49116
dbl_025_org_122	Dartmouth College	Q49116
dbl_025_org_123	Dartmouth College	Q49116
dbl_025_org_124	Dartmouth College	Q49116
dbl_025_org_125	Dartmouth College	Q49116
dbl_025_org_126	Dartmouth College	Q49116
dbl_025_org_127	Blackboard Learn	Q15933979
dbl_025_org_128	Wayside	
dbl_025_org_129	Dartmouth College	Q49116
dbl_025_org_130	Dartmouth College	Q49116
dbl_025_org_131	Dartmouth College	Q49116
dbl_025_org_132	Dartmouth College	Q49116
dbl_025_org_133	Dartmouth College	Q49116
dbl_025_org_134	Dartmouth College	Q49116
dbl_025_org_135	Dartmouth College	Q49116
dbl_025_org_136	Dartmouth College	Q49116
dbl_025_org_137	Black Alumni of Dartmouth Association	Q117514486
dbl_025_org_138	Black Alumni of Dartmouth Association	Q117514486
dbl_025_org_139	Dartmouth College	Q49116
dbl_025_org_140	Dartmouth College	Q49116
dbl_025_org_141	Dartmouth College	Q49116
dbl_025_org_142	Dartmouth College	Q49116
dbl_025_org_143	Black Praxis	Q115027533
